"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","30p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4,C37,C46,C48","5","330p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C7","2","270p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","470p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8","1","680p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9,C10,C11,C12","4","10n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13,C14,C15,C19,C20,C21,C22,C41,C45,C49,C50,C51,C52,C53,C56,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72","29","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16,C17,C18","3","22n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C23","1","4.7n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C24,C36,C39,C42,C54,C55,C57,C58,C73,C74,C75","11","10uF","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C25,C26,C38","3","1n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C27,C28,C47","3","2.2n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C29,C30,C31","3","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C32,C33,C43","3","100uF","","","","Capacitor_SMD:CP_Elec_6.3x5.2","~"
"C34,C35","2","100p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C40,C44","2","47p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"CN1","1","GAME","","","","Connector_Dsub:DSUB-15_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","~"
"CN2","1","SPKOUT","","","","SB:TRS jack","~"
"CN3","1","MIC","","","","SB:TRS jack","~"
"D1,D2","2","1N4148","","","","Diode_SMD:D_0805_2012Metric","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Prog","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"JP1","1","I/O ADDX","","","","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~"
"JP2","1","IRQ","","","","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"JP3","1","Gameport enable","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP4","1","DMA Enable","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP5","1","DSP PWR","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1,Q2","2","2N3904","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1,R2,R4,R20,R48,R55","6","4.7K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R5,R6,R7,R8,R9,R10,R11,R12,R36,R37","11","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13,R14,R15,R16","4","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R17","1","47","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R19,R24,R25,R41","5","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R21","1","2.2K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R22,R23,R50","3","1.5K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R26,R27","2","47K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28,R29,R54","3","27K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R30,R31","2","15K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R32,R33,R34,R35","4","20K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R38,R39,R52","3","68K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R40,R47,R53","3","470K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R42,R44","2","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"R43","1","33K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R45,R51","2","39K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R46","1","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R49","1","2.7K","","","","Resistor_SMD:R_0805_2012Metric","~"
"SL1","1","8-bit ISA slot","","","","SB:ISA card edge","https://en.wikipedia.org/wiki/Industry_Standard_Architecture"
"U1","1","L7805","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U2","1","L7905","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf"
"U3","1","DAC0808","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/dac0808.pdf"
"U4","1","AT89LP51","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm","https://ww1.microchip.com/downloads/en/DeviceDoc/doc2487.pdf"
"U5,U14,U25","3","74LS32","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"U6,U23,U27,U28","4","74LS74","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"U6,U28","2","74LS74","","","","","74xx/74hc_hct74.pdf"
"U7","1","74LS125","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS125"
"U8,U9","2","74LS374","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"U10","1","YM3014","","","","Package_DIP:DIP-8_W7.62mm",""
"U11,U12","2","SAA1099","","","","Package_DIP:DIP-18_W7.62mm",""
"U13","1","YM3812","","","","Package_DIP:DIP-24_W15.24mm",""
"U15","1","74LS139","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf"
"U16,U24,U26","3","74LS08","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"U17,U18","2","74LS138","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS138"
"U19,U20","2","74LS245","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245"
"U21,U22","2","NE556","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ne556.pdf"
"U29","1","74LS14","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS14"
"U30,U31","2","LM324","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
"U32","1","LM393","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U33","1","LM4880MX","","","","Package_SO:SO-8_3.9x4.9mm_P1.27mm",""
"Y1","1","12MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
